ticker,sector,avg_K,latest_K,quarter_count
THG,Financial Services,0.4719,0.6714,18
ETR,Utilities,0.4719,0.7072,19
HII,Industrials,0.4717,0.6884,19
GEN,Technology,0.4714,1.1614,16
BIIB,Healthcare,0.4714,1.1323,14
NTAP,Technology,0.4708,1.3462,18
UGI,Utilities,0.4704,1.3819,18
ACM,Industrials,0.4703,1.0491,16
CTVA,Basic Materials,0.4698,0.7943,18
NWL,Consumer Defensive,0.4697,0.5264,17
MIDD,Industrials,0.4694,0.6128,14
ASH,Basic Materials,0.4693,1.5112,18
IPGP,Technology,0.469,0.7686,17
INSM,Healthcare,0.4683,2.7303,16
CNH,Industrials,0.4682,0.5197,14
TOST,Technology,0.4681,0.8926,18
CVS,Healthcare,0.4678,0.6545,18
GME,Consumer Cyclical,0.4678,2.4503,16
NEU,Basic Materials,0.4675,0.8705,16
BSX,Healthcare,0.4674,1.4125,16
OC,Industrials,0.4674,0.5141,18
LEN,Consumer Cyclical,0.4672,0.9424,16
BA,Industrials,0.4671,0.7918,15
CSX,Industrials,0.4666,0.7063,18
ZION,Financial Services,0.4666,0.7558,17
ROL,Consumer Cyclical,0.4664,1.1959,17
HSY,Consumer Defensive,0.4662,0.6747,18
DINO,Energy,0.4658,1.1465,16
ELV,Healthcare,0.4655,1.361,17
AMZN,Consumer Cyclical,0.4651,0.957,19
GM,Consumer Cyclical,0.4648,0.6192,18
H,Consumer Cyclical,0.4644,0.5264,20
TSCO,Consumer Cyclical,0.4642,0.7361,18
ETN,Industrials,0.4635,0.7849,16
EXLS,Technology,0.4631,0.8285,17
AVT,Technology,0.4629,1.6107,17
AMGN,Healthcare,0.4628,0.9091,16
EFX,Industrials,0.4628,1.1263,16
APTV,Consumer Cyclical,0.4625,0.6025,16
SYK,Healthcare,0.4623,0.9432,13
ABBV,Healthcare,0.4613,0.7436,18
UHS,Healthcare,0.4611,0.8182,18
MHK,Consumer Cyclical,0.4608,0.8201,16
DRS,Industrials,0.4608,0.9133,19
EME,Industrials,0.4597,0.8726,19
REYN,Consumer Cyclical,0.4593,0.8178,18
AIZ,Financial Services,0.4578,0.7034,15
EQIX,Real Estate,0.4576,0.8796,17
NTRS,Financial Services,0.4575,0.99,17
EIX,Utilities,0.4573,0.5833,14
SBUX,Consumer Cyclical,0.457,1.1448,19
VVV,Consumer Cyclical,0.4564,0.6543,17
PSN,Technology,0.4562,0.4943,18
LH,Healthcare,0.456,0.9101,16
NET,Technology,0.4555,0.8236,17
LMT,Industrials,0.4541,1.2901,19
MLM,Basic Materials,0.4541,0.7226,16
MOS,Basic Materials,0.4538,0.6193,19
CROX,Consumer Cyclical,0.4532,0.8157,18
CNM,Industrials,0.4528,0.8629,18
UHAL,Industrials,0.4527,0.1466,13
ACI,Consumer Defensive,0.4524,0.738,18
AMG,Financial Services,0.4523,0.8121,18
CDNS,Technology,0.4523,0.8684,19
VZ,Communication Services,0.4519,0.5081,18
COR,Healthcare,0.4508,1.1485,19
KBR,Industrials,0.4508,0.6557,18
HLT,Consumer Cyclical,0.4504,0.6633,17
AFG,Financial Services,0.4503,0.5909,18
CLF,Basic Materials,0.4498,1.2371,18
BDX,Healthcare,0.4492,0.8592,18
UNM,Financial Services,0.4489,0.6137,14
XYZ,Technology,0.4488,0.5067,18
EBAY,Consumer Cyclical,0.4487,0.9228,17
FLUT,Consumer Cyclical,0.4469,0.4012,2
SLGN,Consumer Cyclical,0.4468,0.7952,16
SEB,Industrials,0.446,0.861,17
AES,Utilities,0.446,0.5607,15
TWLO,Technology,0.4451,0.9678,19
PTC,Technology,0.4448,1.8107,15
CHH,Consumer Cyclical,0.4445,0.637,18
CGNX,Technology,0.4442,0.956,18
PCG,Utilities,0.444,1.2082,15
MRK,Healthcare,0.4439,0.561,19
FTV,Technology,0.4435,0.2893,17
AFL,Financial Services,0.4431,0.569,16
NXST,Communication Services,0.4424,0.7518,19
SGI,Consumer Cyclical,0.4424,0.8806,15
NYT,Communication Services,0.4422,0.7809,18
BLDR,Industrials,0.4419,0.5625,17
NVR,Consumer Cyclical,0.4419,0.5374,20
F,Consumer Cyclical,0.4414,0.6595,16
VMI,Industrials,0.4411,0.8781,16
BR,Technology,0.4411,1.2923,17
TXRH,Consumer Cyclical,0.4408,0.6163,18
NOW,Technology,0.4408,0.362,18
LEA,Consumer Cyclical,0.4401,0.6584,18
DKS,Consumer Cyclical,0.4393,1.2453,19
CNP,Utilities,0.4384,0.654,16
RHI,Industrials,0.4372,0.5769,18
KNX,Industrials,0.4369,0.5047,17
JCI,Industrials,0.4366,0.6223,17
ES,Utilities,0.4362,0.7477,18
SO,Utilities,0.4361,0.7187,16
STT,Financial Services,0.4351,0.8252,18
IR,Industrials,0.4348,0.9031,16
KR,Consumer Defensive,0.4346,0.5437,16
ADP,Technology,0.4343,1.4866,19
LKQ,Consumer Cyclical,0.4342,0.7064,18
UBER,Technology,0.434,0.5489,19
LHX,Industrials,0.434,0.6848,16
TT,Industrials,0.4336,0.7715,20
WU,Financial Services,0.4331,0.6106,18
BSY,Technology,0.4326,0.4777,17
TYL,Technology,0.4322,0.5573,18
SITE,Industrials,0.4321,0.7513,19
SWK,Industrials,0.432,0.59,16
SNPS,Technology,0.4319,0.5198,16
OGN,Healthcare,0.4315,0.7874,18
BRKR,Healthcare,0.4313,0.7613,17
AOS,Industrials,0.4311,0.7162,17
JLL,Real Estate,0.4292,0.7997,18
FFIV,Technology,0.4291,0.9139,16
NVST,Healthcare,0.4286,1.0115,15
TAP,Consumer Defensive,0.4282,0.4469,19
BXP,Real Estate,0.4282,0.2955,16
HCA,Healthcare,0.428,0.7211,14
PPLI,Communication Services,0.428,0.4375,18
PEG,Utilities,0.4277,0.9432,16
WRB,Financial Services,0.4277,0.7177,16
MORN,Financial Services,0.4268,0.7843,18
NTNX,Technology,0.4267,1.8087,18
ON,Technology,0.4262,0.5442,17
MSI,Technology,0.4259,0.5427,17
BMY,Healthcare,0.4256,0.8909,17
SHC,Healthcare,0.4254,1.1057,18
PRGO,Healthcare,0.4249,0.556,16
IP,Consumer Cyclical,0.4244,0.8304,14
VTR,Real Estate,0.424,0.8616,18
COLD,Real Estate,0.4234,0.5695,16
ABT,Healthcare,0.4232,0.8683,18
CERT,Healthcare,0.4228,0.7917,18
PFG,Financial Services,0.422,0.5373,14
IFF,Basic Materials,0.4217,0.6287,16
WAB,Industrials,0.4215,1.4269,17
VNO,Real Estate,0.4215,0.6041,18
TER,Technology,0.4215,1.6162,17
DVA,Healthcare,0.4213,0.8529,17
HUBS,Technology,0.4211,0.7009,17
AXS,Financial Services,0.4206,0.6963,17
TXT,Industrials,0.4205,0.7013,16
PNW,Utilities,0.419,0.5345,18
AA,Basic Materials,0.4182,0.8799,17
CHWY,Consumer Cyclical,0.418,0.6601,18
GXO,Industrials,0.4175,0.7131,19
SPG,Real Estate,0.4166,0.8896,11
LNC,Financial Services,0.4165,0.597,17
IQV,Healthcare,0.4162,0.6775,18
AAL,Industrials,0.4162,0.5059,18
CUZ,Real Estate,0.4158,0.6918,17
SNDR,Industrials,0.4154,0.7519,16
BC,Consumer Cyclical,0.4147,0.7596,19
SMG,Basic Materials,0.414,1.2391,18
GEHC,Healthcare,0.4132,0.8051,11
AVTR,Healthcare,0.4126,0.7333,18
VTRS,Healthcare,0.4118,0.7966,17
ACN,Technology,0.4108,1.4592,13
CZR,Consumer Cyclical,0.4106,0.5746,17
ORLY,Consumer Cyclical,0.4103,0.6901,15
ORI,Financial Services,0.4095,0.7518,11
FTNT,Technology,0.4089,0.8138,18
ELAN,Healthcare,0.4086,0.9627,19
NWSA,Communication Services,0.4076,1.3851,16
NWS,Communication Services,0.4076,1.3851,16
EXPD,Industrials,0.4072,0.934,18
EXPE,Consumer Cyclical,0.4051,0.6137,18
OGE,Utilities,0.405,0.522,16
AIG,Financial Services,0.4042,0.6052,16
NI,Utilities,0.4039,0.887,16
HAS,Consumer Cyclical,0.4029,1.0781,18
UPS,Industrials,0.4028,0.6077,19
TGT,Consumer Defensive,0.4023,0.5914,16
XRAY,Healthcare,0.4022,0.7158,17
CMCSA,Communication Services,0.4021,1.055,18
BJ,Consumer Defensive,0.402,0.6009,17
BBY,Consumer Cyclical,0.4019,0.9242,16
RSG,Industrials,0.4011,0.6711,18
MSGS,Communication Services,0.4007,0.3996,17
BFAM,Consumer Cyclical,0.3994,0.5186,18
CI,Healthcare,0.3987,0.7197,18
MAT,Consumer Cyclical,0.398,0.8694,17
LIN,Basic Materials,0.3979,0.7093,18
AAPL,Technology,0.3976,1.0178,18
GD,Industrials,0.3964,0.8548,18
THC,Healthcare,0.3962,0.8363,16
SHW,Basic Materials,0.3952,0.6058,15
G,Technology,0.3938,0.6215,17
AMKR,Technology,0.3929,0.6615,17
TRGP,Energy,0.3928,0.6996,17
EXC,Utilities,0.3917,0.7419,16
ST,Technology,0.3913,0.5792,17
DXC,Technology,0.3906,0.9733,17
PRU,Financial Services,0.3906,0.3745,15
MAN,Industrials,0.3897,0.5964,16
BIO,Healthcare,0.3893,0.4748,16
GLW,Technology,0.3893,0.7311,18
DAL,Industrials,0.3892,0.5262,17
HD,Consumer Cyclical,0.3881,0.7532,19
XPO,Industrials,0.388,0.6087,15
TFX,Healthcare,0.3876,0.652,14
RBLX,Communication Services,0.3868,0.7211,16
AMH,Real Estate,0.3854,0.1412,4
R,Industrials,0.3851,0.9467,16
WM,Industrials,0.3841,0.6405,18
CLVT,Technology,0.3839,0.3364,11
FWONA,Communication Services,0.3835,0.1619,15
FWONK,Communication Services,0.3835,0.1619,15
ASTS,Technology,0.3822,0.002,14
LYB,Basic Materials,0.3818,0.6012,17
CXT,Industrials,0.3802,0.7744,16
GAP,Consumer Cyclical,0.3796,0.83,19
WY,Real Estate,0.3794,0.7146,19
PENN,Consumer Cyclical,0.3779,0.1956,15
AN,Consumer Cyclical,0.3772,0.5807,20
DD,Basic Materials,0.3758,0.4682,15
HPE,Technology,0.3754,0.4492,16
JPM,Financial Services,0.3748,0.9854,5
PPG,Basic Materials,0.374,0.7565,17
LPX,Industrials,0.374,0.6905,18
GDDY,Technology,0.3731,0.4864,18
GTM,Technology,0.3725,0.3931,15
WEX,Technology,0.3725,0.7386,19
COLB,Financial Services,0.3725,0.5682,3
DJT,Communication Services,0.3716,0.0012,9
PAG,Consumer Cyclical,0.3708,0.6506,15
LOW,Consumer Cyclical,0.3705,0.7287,15
KMPR,Financial Services,0.3701,0.5257,18
OLN,Basic Materials,0.3691,0.556,19
PEGA,Technology,0.365,1.4955,19
LINE,Real Estate,0.3648,0.5351,8
UNH,Healthcare,0.3624,0.6921,18
MDU,Utilities,0.3623,0.5981,18
INTC,Technology,0.3615,0.5233,18
CNXC,Technology,0.3594,0.6663,18
CHTR,Communication Services,0.3592,0.7931,18
ROIV,Healthcare,0.3585,0.0063,18
AGCO,Industrials,0.358,0.4989,16
RNG,Technology,0.3535,0.7265,18
EMN,Basic Materials,0.3533,0.6145,18
OMC,Communication Services,0.353,0.8717,16
IVZ,Financial Services,0.3524,0.7109,17
KMB,Consumer Defensive,0.3515,0.4953,16
IBM,Technology,0.3509,0.3435,15
EEFT,Technology,0.3501,0.5369,15
CAR,Industrials,0.3495,0.4593,17
HUN,Basic Materials,0.3483,0.5783,17
CE,Basic Materials,0.3464,0.5558,19
CHRW,Industrials,0.3461,0.6161,19
PCOR,Technology,0.3452,0.5447,19
MTB,Financial Services,0.3447,0.6206,12
CTSH,Technology,0.3441,0.6355,17
DOW,Basic Materials,0.34,0.583,19
ZBRA,Technology,0.3391,0.5573,17
LYFT,Technology,0.3388,0.4397,18
CDW,Technology,0.3364,0.5165,18
WHR,Consumer Cyclical,0.3353,0.4061,17
TDC,Technology,0.3324,1.7136,16
CRCL,Financial Services,0.3308,0.5984,4
BNY,Financial Services,0.3286,0.7574,5
ARW,Technology,0.3238,0.6181,17
TRMB,Technology,0.3224,0.4469,19
SSNC,Technology,0.322,0.5539,17
VNT,Technology,0.3218,0.4911,17
W,Consumer Cyclical,0.3216,0.565,18
DBX,Technology,0.3208,0.5275,18
MPT,Real Estate,0.3203,0.6436,18
FIS,Technology,0.3197,1.6039,14
SIRI,Communication Services,0.3174,0.4245,19
CCC,Technology,0.3155,0.659,16
RVMD,Healthcare,0.3134,0.1457,14
RH,Consumer Cyclical,0.3134,0.3134,1
LDOS,Technology,0.3115,0.5063,16
IT,Technology,0.3062,0.4755,17
U,Technology,0.3052,0.3308,17
FMC,Basic Materials,0.2947,0.4152,12
LBTYK,Communication Services,0.288,0.3991,18
LBTYA,Communication Services,0.288,0.3991,18
HPQ,Technology,0.2824,0.6414,18
XE,Industrials,0.2381,0.2381,1
MUSA,Consumer Cyclical,0.222,0.3986,3
AUR,Consumer Cyclical,0.1864,0.0001,8
LLYVK,Communication Services,0.1816,0.0587,3
LLYVA,Communication Services,0.1816,0.0587,3
SMMT,Healthcare,0.1315,0.0009,13
KD,Technology,,3.3029,13
EW,Healthcare,,1.6605,15
AEIS,Industrials,,1.172,18
WMB,Energy,,1.2617,19
MP,Basic Materials,,1.8021,15
